id,name,state,rainfall,rank,deviation,mean_rainfall,
OR-021,Gilliam County,Oregon,13.5,106,2.29,11.21,
OR-023,Grant County,Oregon,19.79,60,-0.96,20.75,
OR-025,Harney County,Oregon,10.78,35,-2.05,12.83,
OR-027,Hood River County,Oregon,66.95,104,8.53,58.42,
OR-029,Jackson County,Oregon,31.51,35,-5.3,36.81,
OR-031,Jefferson County,Oregon,18.94,80,0.6,18.34,
OR-033,Josephine County,Oregon,47.96,41,-6.36,54.32,
OR-035,Klamath County,Oregon,23.13,35,-3.93,27.06,
OR-037,Lake County,Oregon,12.43,45,-1.97,14.4,
OR-039,Lane County,Oregon,68.99,90,5.04,63.95,
OR-041,Lincoln County,Oregon,103.49,105,13.64,89.85,
OR-043,Linn County,Oregon,74.91,93,5.36,69.55,
OR-045,Malheur County,Oregon,11.83,52,-0.72,12.55,
OR-047,Marion County,Oregon,71.72,106,8.18,63.54,
OR-049,Morrow County,Oregon,17.89,114,3.8,14.09,
OR-051,Multnomah County,Oregon,73.07,111,10.64,62.43,
OR-053,Polk County,Oregon,74.25,98,7.6,66.65,
OR-055,Sherman County,Oregon,16.17,109,3.04,13.13,
OR-057,Tillamook County,Oregon,115.68,107,14.57,101.11,
OR-059,Umatilla County,Oregon,25.55,118,5.17,20.38,
OR-061,Union County,Oregon,30.3,81,1.57,28.73,
OR-063,Wallowa County,Oregon,27.73,69,0.31,27.42,
OR-065,Wasco County,Oregon,22.19,94,2.02,20.17,
OR-067,Washington County,Oregon,61.9,98,6.16,55.74,
OR-069,Wheeler County,Oregon,16.29,79,0.27,16.02,
OR-071,Yamhill County,Oregon,67.28,97,6.41,60.87,
PA-001,Adams County,Pennsylvania,43.99,79,1.72,42.27,
PA-003,Allegheny County,Pennsylvania,44.18,107,5.81,38.37,
PA-005,Armstrong County,Pennsylvania,49.62,114,7.42,42.2,
PA-007,Beaver County,Pennsylvania,44.01,108,5.98,38.03,
PA-009,Bedford County,Pennsylvania,42.43,97,4.3,38.13,
PA-011,Berks County,Pennsylvania,43.15,52,-1.07,44.22,
PA-013,Blair County,Pennsylvania,46.13,109,6.52,39.61,
PA-015,Bradford County,Pennsylvania,38.99,77,2.1,36.89,
PA-017,Bucks County,Pennsylvania,43.17,45,-2.31,45.48,
PA-019,Butler County,Pennsylvania,43.94,91,3.24,40.7,
PA-021,Cambria County,Pennsylvania,50.23,108,6.76,43.47,
PA-023,Cameron County,Pennsylvania,42.72,79,1.46,41.26,
PA-025,Carbon County,Pennsylvania,51.51,82,2.98,48.53,
PA-027,Centre County,Pennsylvania,45.54,105,4.63,40.91,
PA-029,Chester County,Pennsylvania,45.79,70,0.91,44.88,
PA-031,Clarion County,Pennsylvania,45.53,89,2.4,43.13,
PA-033,Clearfield County,Pennsylvania,45.54,100,3.39,42.15,
PA-035,Clinton County,Pennsylvania,43.97,90,3.41,40.56,
PA-037,Columbia County,Pennsylvania,45.95,95,3.48,42.47,
PA-039,Crawford County,Pennsylvania,45.07,80,2.28,42.79,
PA-041,Cumberland County,Pennsylvania,43.33,80,1.86,41.47,
PA-043,Dauphin County,Pennsylvania,45.31,85,2.24,43.07,
PA-045,Delaware County,Pennsylvania,38.31,22,-5.95,44.26,
PA-047,Elk County,Pennsylvania,45.31,87,2.29,43.02,
PA-049,Erie County,Pennsylvania,48.12,103,5.19,42.93,
PA-051,Fayette County,Pennsylvania,49.43,96,4.78,44.65,
PA-053,Forest County,Pennsylvania,46.61,91,2.85,43.76,
PA-055,Franklin County,Pennsylvania,39.5,61,-0.95,40.45,
PA-057,Fulton County,Pennsylvania,41.35,84,2.49,38.86,
PA-059,Greene County,Pennsylvania,46.26,99,5.24,41.02,
PA-061,Huntingdon County,Pennsylvania,44.97,104,5.65,39.32,
PA-063,Indiana County,Pennsylvania,51.46,115,7.5,43.96,
PA-065,Jefferson County,Pennsylvania,44.56,76,1.08,43.48,
PA-067,Juniata County,Pennsylvania,47.45,105,5.85,41.6,
PA-069,Lackawanna County,Pennsylvania,51.21,113,9.07,42.14,
PA-071,Lancaster County,Pennsylvania,45.27,85,3.36,41.91,
PA-073,Lawrence County,Pennsylvania,41.68,90,2.89,38.79,
PA-075,Lebanon County,Pennsylvania,45.7,78,2.33,43.38,
PA-077,Lehigh County,Pennsylvania,46.06,65,0.63,45.43,
PA-079,Luzerne County,Pennsylvania,48.77,102,5.86,42.91,
PA-081,Lycoming County,Pennsylvania,43.66,83,2.26,41.4,
PA-083,McKean County,Pennsylvania,46.52,95,3.17,43.35,
PA-085,Mercer County,Pennsylvania,41.29,67,0.48,40.81,
PA-087,Mifflin County,Pennsylvania,47.61,108,6.74,40.87,
PA-089,Monroe County,Pennsylvania,55.78,107,7.88,47.9,
PA-091,Montgomery County,Pennsylvania,42.18,44,-2.61,44.79,
PA-093,Montour County,Pennsylvania,43.7,83,2.55,41.15,
PA-095,Northampton County,Pennsylvania,46.36,62,0.62,45.74,
PA-097,Northumberland County,Pennsylvania,44.93,92,3.53,41.4,
PA-099,Perry County,Pennsylvania,45.06,85,2.43,42.63,
PA-101,Philadelphia County,Pennsylvania,38.18,25,-5.96,44.14,
PA-103,Pike County,Pennsylvania,49.08,93,4.81,44.27,
PA-105,Potter County,Pennsylvania,41.28,71,1.16,40.12,
PA-107,Schuylkill County,Pennsylvania,48.96,83,2.47,46.49,
PA-109,Snyder County,Pennsylvania,46.39,97,3.94,42.45,
PA-111,Somerset County,Pennsylvania,46.94,88,3.44,43.5,
PA-113,Sullivan County,Pennsylvania,44.71,69,0.78,43.93,
PA-115,Susquehanna County,Pennsylvania,46.14,103,5.38,40.76,
PA-117,Tioga County,Pennsylvania,39.01,85,2.63,36.38,
PA-119,Union County,Pennsylvania,44.43,90,3.05,41.38,
PA-121,Venango County,Pennsylvania,44.56,81,2.43,42.13,
PA-123,Warren County,Pennsylvania,48.64,106,5.04,43.6,
PA-125,Washington County,Pennsylvania,45.15,105,5.9,39.25,
PA-127,Wayne County,Pennsylvania,48.81,100,6.18,42.63,
PA-129,Westmoreland County,Pennsylvania,49.07,115,6.75,42.32,
PA-131,Wyoming County,Pennsylvania,46.68,101,6.13,40.55,
PA-133,York County,Pennsylvania,42.54,70,1.15,41.39,
RI-001,Bristol County,Rhode Island,42.36,39,-2.4,44.76,
RI-003,Kent County,Rhode Island,43.99,44,-1.94,45.93,
RI-005,Newport County,Rhode Island,43.38,59,0.17,43.21,
RI-007,Providence County,Rhode Island,45.05,49,-1.3,46.35,
RI-009,Washington County,Rhode Island,41.39,42,-2.45,43.84,
SC-001,Abbeville County,South Carolina,47.47,63,-0.47,47.94,
SC-003,Aiken County,South Carolina,43.85,64,-1.69,45.54,
SC-005,Allendale County,South Carolina,47.92,80,1.55,46.37,
SC-007,Anderson County,South Carolina,43.84,40,-5.11,48.95,
SC-009,Bamberg County,South Carolina,53.43,105,6.81,46.62,
SC-011,Barnwell County,South Carolina,50.84,96,4.7,46.14,
SC-013,Beaufort County,South Carolina,47.21,63,-0.89,48.1,
SC-015,Berkeley County,South Carolina,43.54,35,-4.96,48.5,
SC-017,Calhoun County,South Carolina,45.56,68,-0.5,46.06,
SC-019,Charleston County,South Carolina,44.45,38,-3.97,48.42,
SC-021,Cherokee County,South Carolina,37.8,13,-11.14,48.94,
SC-023,Chester County,South Carolina,36.81,12,-9.27,46.08,
SC-025,Chesterfield County,South Carolina,41.09,36,-4.75,45.84,
SC-027,Clarendon County,South Carolina,40.91,22,-6.88,47.79,
SC-029,Colleton County,South Carolina,46.08,58,-1.6,47.68,
SC-031,Darlington County,South Carolina,41.63,44,-4.17,45.8,
SC-033,Dillon County,South Carolina,40.26,28,-5.53,45.79,
SC-035,Dorchester County,South Carolina,44.68,43,-3.06,47.74,
SC-037,Edgefield County,South Carolina,41.39,43,-4.41,45.8,
SC-039,Fairfield County,South Carolina,36.19,11,-9.33,45.52,
SC-041,Florence County,South Carolina,42.42,43,-4.67,47.09,
SC-043,Georgetown County,South Carolina,41.98,16,-7.52,49.5,
SC-045,Greenville County,South Carolina,48.3,35,-7.41,55.71,
SC-047,Greenwood County,South Carolina,43.46,52,-3.49,46.95,
SC-049,Hampton County,South Carolina,44.62,51,-2.48,47.1,
SC-051,Horry County,South Carolina,45.42,47,-3.41,48.83,
SC-053,Jasper County,South Carolina,45.11,43,-3.12,48.23,
SC-055,Kershaw County,South Carolina,34.77,10,-11.04,45.81,
SC-057,Lancaster County,South Carolina,35.94,11,-9.58,45.52,
SC-059,Laurens County,South Carolina,41.78,37,-6.12,47.9,
SC-061,Lee County,South Carolina,39.28,21,-7.02,46.3,
SC-063,Lexington County,South Carolina,39.87,34,-5.84,45.71,
SC-065,McCormick County,South Carolina,43.54,53,-3.11,46.65,
SC-067,Marion County,South Carolina,45.14,62,-2.17,47.31,
SC-069,Marlboro County,South Carolina,41.12,33,-4.76,45.88,
SC-071,Newberry County,South Carolina,39.98,37,-6.02,46,
SC-073,Oconee County,South Carolina,55.64,42,-5.27,60.91,
SC-075,Orangeburg County,South Carolina,47.92,82,1.25,46.67,
SC-077,Pickens County,South Carolina,52.76,39,-6.1,58.86,
SC-079,Richland County,South Carolina,40.53,38,-4.79,45.32,
SC-081,Saluda County,South Carolina,40.34,40,-5.72,46.06,
SC-083,Spartanburg County,South Carolina,42.85,32,-8.43,51.28,
SC-085,Sumter County,South Carolina,39.01,20,-7.41,46.42,
SC-087,Union County,South Carolina,41.38,36,-6.62,48,
SC-089,Williamsburg County,South Carolina,41.94,19,-6.69,48.63,
SC-091,York County,South Carolina,35.27,9,-11.59,46.86,
SD-003,Aurora County,South Dakota,19.5,43,-1.91,21.41,
SD-005,Beadle County,South Dakota,24.13,101,3.87,20.26,
SD-007,Bennett County,South Dakota,18.38,66,0.07,18.31,
SD-009,Bon Homme County,South Dakota,16.75,6,-7.32,24.07,
SD-011,Brookings County,South Dakota,29.14,115,6.03,23.11,
SD-013,Brown County,South Dakota,25.78,112,5.65,20.13,
SD-015,Brule County,South Dakota,20.24,64,0.14,20.1,
SD-017,Buffalo County,South Dakota,22.53,101,3.67,18.86,
SD-019,Butte County,South Dakota,14.94,59,-0.55,15.49,
SD-021,Campbell County,South Dakota,20.36,103,3.18,17.18,
SD-023,Charles Mix County,South Dakota,18.78,27,-3.63,22.41,
SD-025,Clark County,South Dakota,26.97,105,5.14,21.83,
SD-027,Clay County,South Dakota,19.39,12,-6.03,25.42,
SD-029,Codington County,South Dakota,30.4,121,7.52,22.88,
SD-031,Corson County,South Dakota,18.64,82,1.75,16.89,
SD-033,Custer County,South Dakota,17.33,60,-0.49,17.82,
SD-035,Davison County,South Dakota,19.15,31,-2.59,21.74,
SD-037,Day County,South Dakota,26.73,106,5.04,21.69,
SD-039,Deuel County,South Dakota,31.91,123,8.05,23.86,
SD-041,Dewey County,South Dakota,18.5,84,1.56,16.94,
SD-043,Douglas County,South Dakota,19.51,29,-2.85,22.36,
SD-045,Edmunds County,South Dakota,26.15,121,7.22,18.93,
SD-047,Fall River County,South Dakota,14.83,45,-1.81,16.64,
SD-049,Faulk County,South Dakota,26.75,124,7.86,18.89,
SD-051,Grant County,South Dakota,29.3,114,6.05,23.25,
SD-053,Gregory County,South Dakota,19.69,42,-2.02,21.71,
SD-055,Haakon County,South Dakota,14.79,41,-2.25,17.04,
SD-057,Hamlin County,South Dakota,29.76,119,7.1,22.66,
SD-059,Hand County,South Dakota,25.35,116,6.01,19.34,
SD-061,Hanson County,South Dakota,19.63,36,-2.57,22.2,
SD-063,Harding County,South Dakota,15.05,70,0.49,14.56,
SD-065,Hughes County,South Dakota,21.39,110,4.2,17.19,
SD-067,Hutchinson County,South Dakota,17.77,12,-5.82,23.59,
SD-069,Hyde County,South Dakota,23.85,114,5.73,18.12,
SD-071,Jackson County,South Dakota,17.72,70,0.35,17.37,
SD-073,Jerauld County,South Dakota,21.93,76,1.16,20.77,
SD-075,Jones County,South Dakota,19.37,88,1.99,17.38,
SD-077,Kingsbury County,South Dakota,25.56,97,3.28,22.28,
SD-079,Lake County,South Dakota,24.4,73,0.74,23.66,
SD-081,Lawrence County,South Dakota,21.48,42,-2.42,23.9,
SD-083,Lincoln County,South Dakota,21.88,23,-3.78,25.66,
SD-085,Lyman County,South Dakota,22.52,110,4.22,18.3,
SD-087,McCook County,South Dakota,19.77,24,-4.1,23.87,
SD-089,McPherson County,South Dakota,24.77,117,6.03,18.74,
SD-091,Marshall County,South Dakota,25.91,105,4.8,21.11,
SD-093,Meade County,South Dakota,15.96,54,-0.95,16.91,
SD-095,Mellette County,South Dakota,20.07,82,1.81,18.26,
SD-097,Miner County,South Dakota,22.02,69,-0.03,22.05,
SD-099,Minnehaha County,South Dakota,22.9,43,-2.18,25.08,
SD-101,Moody County,South Dakota,26.5,83,2.55,23.95,
SD-102,Oglala Lakota County,South Dakota,16.4,58,-0.83,17.23,
SD-103,Pennington County,South Dakota,17.96,69,0.04,17.92,
SD-105,Perkins County,South Dakota,15.67,60,-0.15,15.82,
SD-107,Potter County,South Dakota,22.96,115,5.28,17.68,
SD-109,Roberts County,South Dakota,28.59,114,6.58,22.01,
SD-111,Sanborn County,South Dakota,20.24,58,-0.84,21.08,
SD-115,Spink County,South Dakota,26.1,115,6.09,20.01,
SD-117,Stanley County,South Dakota,17.58,78,0.96,16.62,
SD-119,Sully County,South Dakota,20.71,110,4,16.71,
SD-121,Todd County,South Dakota,19.58,65,0.14,19.44,
SD-123,Tripp County,South Dakota,19.62,56,-0.41,20.03,
SD-125,Turner County,South Dakota,18.91,11,-6.21,25.12,
SD-127,Union County,South Dakota,19.76,10,-6.22,25.98,
SD-129,Walworth County,South Dakota,21.94,108,3.98,17.96,
SD-135,Yankton County,South Dakota,16.73,6,-8.02,24.75,
SD-137,Ziebach County,South Dakota,14.31,43,-1.98,16.29,
TN-001,Anderson County,Tennessee,59.74,99,7.59,52.15,
TN-003,Bedford County,Tennessee,69.13,122,16.01,53.12,
TN-005,Benton County,Tennessee,55.48,91,4.51,50.97,
TN-007,Bledsoe County,Tennessee,62.8,99,6.78,56.02,
TN-009,Blount County,Tennessee,56.82,83,3,53.82,
TN-011,Bradley County,Tennessee,54.93,79,2.51,52.42,
TN-013,Campbell County,Tennessee,63.56,120,11.87,51.69,
TN-015,Cannon County,Tennessee,66.17,118,12.06,54.11,
TN-017,Carroll County,Tennessee,56.08,89,5.05,51.03,
TN-019,Carter County,Tennessee,46.75,52,-0.88,47.63,
TN-021,Cheatham County,Tennessee,50.88,75,1.84,49.04,
TN-023,Chester County,Tennessee,55.67,85,3.97,51.7,
TN-025,Claiborne County,Tennessee,53.48,82,3.11,50.37,
TN-027,Clay County,Tennessee,60.58,104,8.03,52.55,
TN-029,Cocke County,Tennessee,46.58,49,-1.32,47.9,
TN-031,Coffee County,Tennessee,65.68,114,11.33,54.35,
TN-033,Crockett County,Tennessee,50.32,69,0.12,50.2,
TN-035,Cumberland County,Tennessee,61.95,96,6.88,55.07,
TN-037,Davidson County,Tennessee,52.83,93,4.38,48.45,
TN-039,Decatur County,Tennessee,58.13,92,5.81,52.32,
TN-041,DeKalb County,Tennessee,61.97,107,8.69,53.28,
TN-043,Dickson County,Tennessee,54.84,87,4.58,50.26,
TN-045,Dyer County,Tennessee,47.74,60,-0.81,48.55,
TN-047,Fayette County,Tennessee,55.62,84,3.48,52.14,
TN-049,Fentress County,Tennessee,63.65,114,10.54,53.11,
TN-051,Franklin County,Tennessee,70.87,121,16.38,54.49,
TN-053,Gibson County,Tennessee,54.12,84,3.72,50.4,
TN-055,Giles County,Tennessee,62.35,103,8.33,54.02,
TN-057,Grainger County,Tennessee,49.57,77,1.88,47.69,
TN-059,Greene County,Tennessee,44.7,64,0.52,44.18,
TN-061,Grundy County,Tennessee,66.19,106,9.36,56.83,
TN-063,Hamblen County,Tennessee,46.72,72,1.36,45.36,
TN-065,Hamilton County,Tennessee,57.07,78,2.47,54.6,
TN-067,Hancock County,Tennessee,51.49,82,2.99,48.5,
TN-069,Hardeman County,Tennessee,57.46,86,4.89,52.57,
TN-071,Hardin County,Tennessee,55.1,80,2.82,52.28,
TN-073,Hawkins County,Tennessee,48.27,79,2.34,45.93,
TN-075,Haywood County,Tennessee,50.86,67,0.13,50.73,
TN-077,Henderson County,Tennessee,56.85,89,5.21,51.64,
TN-079,Henry County,Tennessee,52.99,84,2.71,50.28,
TN-081,Hickman County,Tennessee,60.47,106,8.51,51.96,
TN-083,Houston County,Tennessee,55.19,96,4.79,50.4,
TN-085,Humphreys County,Tennessee,57.04,95,5.56,51.48,
TN-087,Jackson County,Tennessee,62.03,106,8.68,53.35,
TN-089,Jefferson County,Tennessee,47.94,77,2.07,45.87,
TN-091,Johnson County,Tennessee,48.26,53,-0.77,49.03,
TN-093,Knox County,Tennessee,54.76,93,5.46,49.3,
TN-095,Lake County,Tennessee,51.63,82,3.28,48.35,
TN-097,Lauderdale County,Tennessee,47.66,56,-1.72,49.38,
TN-099,Lawrence County,Tennessee,61.87,99,7.46,54.41,
TN-101,Lewis County,Tennessee,64.7,111,11.46,53.24,
TN-103,Lincoln County,Tennessee,69.01,120,14.65,54.36,
TN-105,Loudon County,Tennessee,55.37,78,3.68,51.69,
TN-107,McMinn County,Tennessee,54.36,74,1.65,52.71,
TN-109,McNairy County,Tennessee,56.7,86,4.49,52.21,
TN-111,Macon County,Tennessee,59.36,102,6.59,52.77,
TN-113,Madison County,Tennessee,53.67,79,2.36,51.31,
TN-115,Marion County,Tennessee,65.71,106,9,56.71,
TN-117,Marshall County,Tennessee,67.37,119,14.6,52.77,
TN-119,Maury County,Tennessee,59.01,101,7.46,51.55,
TN-121,Meigs County,Tennessee,54.92,73,1.26,53.66,
TN-123,Monroe County,Tennessee,56,65,0.31,55.69,
TN-125,Montgomery County,Tennessee,51.59,75,2.64,48.95,
TN-127,Moore County,Tennessee,69.71,119,15.22,54.49,
TN-129,Morgan County,Tennessee,59.23,93,6.15,53.08,
TN-131,Obion County,Tennessee,55.37,96,5.71,49.66,
TN-133,Overton County,Tennessee,63.1,111,9.46,53.64,
TN-135,Perry County,Tennessee,61.67,106,8.76,52.91,
TN-137,Pickett County,Tennessee,63.05,116,10.6,52.45,
TN-139,Polk County,Tennessee,56.06,74,1.44,54.62,
TN-141,Putnam County,Tennessee,63.48,104,8.9,54.58,
TN-143,Rhea County,Tennessee,57.55,78,2.2,55.35,
TN-145,Roane County,Tennessee,55.03,75,2.63,52.4,
TN-147,Robertson County,Tennessee,52.39,81,3.37,49.02,
TN-149,Rutherford County,Tennessee,64.35,119,13.28,51.07,
TN-151,Scott County,Tennessee,63.17,114,10.5,52.67,
TN-153,Sequatchie County,Tennessee,63.68,97,6.44,57.24,
TN-155,Sevier County,Tennessee,58.48,84,3.97,54.51,
TN-157,Shelby County,Tennessee,54,80,3.27,50.73,
TN-159,Smith County,Tennessee,60.98,106,8.11,52.87,
TN-161,Stewart County,Tennessee,52.66,85,2.79,49.87,
TN-163,Sullivan County,Tennessee,43.9,58,-0.05,43.95,
TN-165,Sumner County,Tennessee,55.91,92,5.72,50.19,
TN-167,Tipton County,Tennessee,52.03,73,1.84,50.19,
TN-169,Trousdale County,Tennessee,58.23,102,6.35,51.88,
TN-171,Unicoi County,Tennessee,47.44,51,-1.37,48.81,
TN-173,Union County,Tennessee,55.06,93,5.59,49.47,
TN-175,Van Buren County,Tennessee,66.27,117,11.64,54.63,
TN-177,Warren County,Tennessee,65.45,116,11.68,53.77,
TN-179,Washington County,Tennessee,43.5,53,-0.69,44.19,
TN-181,Wayne County,Tennessee,61.01,97,6.94,54.07,
TN-183,Weakley County,Tennessee,54.13,85,3.58,50.55,
TN-185,White County,Tennessee,63.38,106,9.06,54.32,
TN-187,Williamson County,Tennessee,53.85,87,3.79,50.06,
TN-189,Wilson County,Tennessee,59.4,105,7.83,51.57,
TX-001,Anderson County,Texas,30.89,18,-10.56,41.45,
TX-003,Andrews County,Texas,6.06,2,-8.63,14.69,
TX-005,Angelina County,Texas,35.25,12,-13.24,48.49,
TX-007,Aransas County,Texas,28.53,45,-5.19,33.72,
TX-009,Archer County,Texas,18.81,10,-8.87,27.68,
TX-011,Armstrong County,Texas,13.61,9,-7.28,20.89,
TX-013,Atascosa County,Texas,13.44,5,-13.17,26.61,
TX-015,Austin County,Texas,30.02,17,-10.94,40.96,
TX-017,Bailey County,Texas,11.73,14,-5.73,17.46,
TX-019,Bandera County,Texas,15.21,6,-14.53,29.74,
TX-021,Bastrop County,Texas,27.26,34,-7.72,34.98,
TX-023,Baylor County,Texas,18.4,16,-7.17,25.57,
TX-025,Bee County,Texas,22.86,34,-7.29,30.15,
TX-027,Bell County,Texas,20.71,9,-12.19,32.9,
TX-029,Bexar County,Texas,17.3,10,-12.3,29.6,
TX-031,Blanco County,Texas,16.07,6,-14.89,30.96,
TX-033,Borden County,Texas,7.1,2,-11.77,18.87,
TX-035,Bosque County,Texas,17.22,1,-14.95,32.17,
TX-037,Bowie County,Texas,39.84,29,-7.75,47.59,
TX-039,Brazoria County,Texas,37.13,31,-8.19,45.32,
TX-041,Brazos County,Texas,31.07,24,-8.37,39.44,
TX-043,Brewster County,Texas,9.42,26,-3.69,13.11,
TX-045,Briscoe County,Texas,13.9,11,-7.01,20.91,
TX-047,Brooks County,Texas,19.79,42,-3.93,23.72,
TX-049,Brown County,Texas,14.82,3,-11.94,26.76,
TX-051,Burleson County,Texas,29.7,32,-7.8,37.5,
TX-053,Burnet County,Texas,19.96,12,-10.21,30.17,
TX-055,Caldwell County,Texas,26.54,37,-6.8,33.34,
TX-057,Calhoun County,Texas,28.63,27,-9.24,37.87,
TX-059,Callahan County,Texas,14.75,3,-11.11,25.86,
TX-061,Cameron County,Texas,28.03,89,3.22,24.81,
TX-063,Camp County,Texas,33.55,21,-10.85,44.4,
TX-065,Carson County,Texas,13.49,8,-7.19,20.68,
TX-067,Cass County,Texas,39.21,28,-8.04,47.25,
TX-069,Castro County,Texas,10.78,4,-7.87,18.65,
TX-071,Chambers County,Texas,45.4,45,-4.2,49.6,
TX-073,Cherokee County,Texas,35.4,21,-8.96,44.36,
TX-075,Childress County,Texas,14.44,6,-8.17,22.61,
TX-077,Clay County,Texas,21.41,17,-8.61,30.02,
TX-079,Cochran County,Texas,10.11,4,-7.41,17.52,
TX-081,Coke County,Texas,10.69,6,-11.28,21.97,
TX-083,Coleman County,Texas,15.79,6,-10.13,25.92,
TX-085,Collin County,Texas,29.04,20,-8.94,37.98,
TX-087,Collingsworth County,Texas,15.79,13,-7.46,23.25,
TX-089,Colorado County,Texas,32.58,33,-7.8,40.38,
TX-091,Comal County,Texas,21.2,17,-11.22,32.42,
TX-093,Comanche County,Texas,15.07,2,-13.18,28.25,
TX-095,Concho County,Texas,13.94,7,-10.08,24.02,
TX-097,Cooke County,Texas,28.22,26,-7.31,35.53,
TX-099,Coryell County,Texas,16.06,2,-15.46,31.52,
TX-101,Cottle County,Texas,13.84,4,-8.61,22.45,
TX-103,Crane County,Texas,4.42,2,-8.74,13.16,
TX-105,Crockett County,Texas,8.3,4,-9.81,18.11,
TX-107,Crosby County,Texas,10.9,3,-9.44,20.34,
TX-109,Culberson County,Texas,8.8,29,-3.14,11.94,
TX-111,Dallam County,Texas,10,8,-6.59,16.59,
TX-113,Dallas County,Texas,29.21,28,-7.19,36.4,
TX-115,Dawson County,Texas,6.61,2,-10.81,17.42,
TX-117,Deaf Smith County,Texas,9.84,3,-8.48,18.32,
TX-119,Delta County,Texas,32.39,16,-10.6,42.99,
TX-121,Denton County,Texas,25.15,12,-9.74,34.89,
TX-123,DeWitt County,Texas,27.29,32,-7.25,34.54,
TX-125,Dickens County,Texas,11.82,3,-9.79,21.61,
TX-127,Dimmit County,Texas,15.34,28,-5.78,21.12,
TX-129,Donley County,Texas,15.53,15,-6.44,21.97,
TX-131,Duval County,Texas,16.59,21,-7.12,23.71,
TX-133,Eastland County,Texas,15.47,3,-12.14,27.61,
TX-135,Ector County,Texas,5.52,3,-8.3,13.82,
TX-137,Edwards County,Texas,14.25,15,-9.22,23.47,
TX-139,Ellis County,Texas,26.56,19,-9.84,36.4,
TX-141,El Paso County,Texas,8.73,69,-0.08,8.81,
TX-143,Erath County,Texas,12.2,1,-17.51,29.71,
TX-145,Falls County,Texas,24.06,14,-10.84,34.9,
TX-147,Fannin County,Texas,32.88,24,-8.18,41.06,
TX-149,Fayette County,Texas,29.78,38,-7.61,37.39,
TX-151,Fisher County,Texas,10.73,4,-11.26,21.99,
TX-153,Floyd County,Texas,11.56,2,-9.15,20.71,
TX-155,Foard County,Texas,15.21,4,-9.07,24.28,
TX-157,Fort Bend County,Texas,34.29,24,-9.79,44.08,
TX-159,Franklin County,Texas,33.79,23,-10.12,43.91,
TX-161,Freestone County,Texas,28.96,20,-9.96,38.92,
TX-163,Frio County,Texas,13.26,8,-10.89,24.15,
TX-165,Gaines County,Texas,5.8,2,-10.18,15.98,
TX-167,Galveston County,Texas,41.66,43,-5.46,47.12,
TX-169,Garza County,Texas,8.77,2,-10.76,19.53,
TX-171,Gillespie County,Texas,16.02,7,-12.95,28.97,
TX-173,Glasscock County,Texas,5.78,1,-11.96,17.74,
TX-175,Goliad County,Texas,25.42,34,-7.74,33.16,
TX-177,Gonzales County,Texas,26.5,33,-7.22,33.72,
TX-179,Gray County,Texas,17.04,19,-5.14,22.18,
TX-181,Grayson County,Texas,28.42,18,-9.77,38.19,
TX-183,Gregg County,Texas,32.58,14,-12.44,45.02,
TX-185,Grimes County,Texas,33.52,27,-8.24,41.76,
TX-187,Guadalupe County,Texas,24.25,34,-7.52,31.77,
TX-189,Hale County,Texas,11.21,3,-8.21,19.42,
TX-191,Hall County,Texas,14.4,10,-6.82,21.22,
TX-193,Hamilton County,Texas,14.44,1,-15.43,29.87,
TX-195,Hansford County,Texas,10.99,5,-8.06,19.05,
TX-197,Hardeman County,Texas,16.49,12,-7.99,24.48,
TX-199,Hardin County,Texas,50.34,55,-2,52.34,
TX-201,Harris County,Texas,38.36,32,-8.05,46.41,
TX-203,Harrison County,Texas,36.65,21,-10.41,47.06,
TX-205,Hartley County,Texas,10.11,6,-7.21,17.32,
TX-207,Haskell County,Texas,14.46,6,-9.67,24.13,
TX-209,Hays County,Texas,23.75,25,-9.15,32.9,
TX-211,Hemphill County,Texas,18.26,26,-4.24,22.5,
TX-213,Henderson County,Texas,30.35,17,-10.53,40.88,
TX-215,Hidalgo County,Texas,22.85,73,0.1,22.76,
TX-217,Hill County,Texas,21.31,5,-13.47,34.78,
TX-219,Hockley County,Texas,10.81,7,-7.41,18.22,
TX-221,Hood County,Texas,16.45,2,-14.64,31.09,
TX-223,Hopkins County,Texas,31.01,16,-11.64,42.65,
TX-225,Houston County,Texas,36.17,28,-7.88,44.05,
TX-227,Howard County,Texas,6.07,2,-12.49,18.56,
TX-229,Hudspeth County,Texas,10.73,75,0.4,10.33,
TX-231,Hunt County,Texas,29.86,14,-10.63,40.49,
TX-233,Hutchinson County,Texas,11.94,6,-7.47,19.41,
TX-235,Irion County,Texas,8.59,5,-11.41,20,
TX-237,Jack County,Texas,23.18,26,-6.84,30.02,
TX-239,Jackson County,Texas,29.04,24,-10.73,39.77,
TX-241,Jasper County,Texas,42.48,18,-11.58,54.06,
TX-243,Jeff Davis County,Texas,13,51,-1.82,14.82,
TX-245,Jefferson County,Texas,50.08,50,-2.21,52.29,
TX-247,Jim Hogg County,Texas,19.7,56,-2.12,21.82,
TX-249,Jim Wells County,Texas,17.6,13,-8.72,26.32,
TX-251,Johnson County,Texas,21.14,7,-12.33,33.47,
TX-253,Jones County,Texas,12.73,5,-10.84,23.57,
TX-255,Karnes County,Texas,21.33,17,-8.79,30.12,
TX-257,Kaufman County,Texas,27.48,11,-11.83,39.31,
