"show","episode","season","episode_num","startYear","runtimeMinutes","ep_rating","ep_votes","show_rating","show_votes"
"Oz","God's Chillin'",1,3,1997,57,8.1,2255,8.7,99897
"Oz","Capital P",1,4,1997,57,8.3,2208,8.7,99897
"Oz","Straight Life",1,5,1997,57,8.2,2123,8.7,99897
"Oz","To Your Health",1,6,1997,57,8.4,2093,8.7,99897
"Oz","Plan B",1,7,1997,56,8.8,2167,8.7,99897
"Oz","A Game of Checkers",1,8,1997,55,9.2,2529,8.7,99897
"Oz","The Tip",2,1,1998,54,8,2026,8.7,99897
"Oz","Ancient Tribes",2,2,1998,57,8,1978,8.7,99897
"Oz","Great Men",2,3,1998,57,8,1954,8.7,99897
"Oz","Losing Your Appeal",2,4,1998,58,8,1963,8.7,99897
"Oz","Family Bizness",2,5,1998,58,8.1,1963,8.7,99897
"Oz","Strange Bedfellows",2,6,1998,59,8.1,1949,8.7,99897
"Oz","Animal Farm",2,7,1998,57,8.1,1935,8.7,99897
"Oz","Escape from Oz",2,8,1998,68,8.7,2120,8.7,99897
"Oz","The Truth and Nothing But...",3,1,1999,56,8.5,1935,8.7,99897
"Oz","Napoleon's Boney Parts",3,2,1999,56,8.2,1889,8.7,99897
"Oz","Legs",3,3,1999,58,8.3,1888,8.7,99897
"Oz","Unnatural Disasters",3,4,1999,59,8.5,1918,8.7,99897
"Oz","U.S. Male",3,5,1999,59,8.4,1868,8.7,99897
"Oz","Cruel and Unusual Punishments",3,6,1999,58,8.2,1858,8.7,99897
"Oz","Secret Identities",3,7,1999,56,8.4,1871,8.7,99897
"Oz","Out o' Time",3,8,1999,59,8.3,1889,8.7,99897
"Oz","A Cock and Balls Story",4,1,2000,60,8.8,1977,8.7,99897
"Oz","Obituaries",4,2,2000,60,8.2,1838,8.7,99897
"Oz","The Bill of Wrongs",4,3,2000,57,8.3,1836,8.7,99897
"Oz","Works of Mercy",4,4,2000,60,8.5,1856,8.7,99897
"Oz","Gray Matter",4,5,2000,60,8.5,1848,8.7,99897
"Oz","A Word to the Wise",4,6,2000,56,8.3,1824,8.7,99897
"Oz","A Town Without Pity",4,7,2000,57,8.8,1950,8.7,99897
"Oz","You Bet Your Life",4,8,2000,58,9,2022,8.7,99897
"Oz","Medium Rare",4,9,2001,53,8.3,1829,8.7,99897
"Oz","Conversions",4,10,2001,59,8.3,1861,8.7,99897
"Oz","Revenge Is Sweet",4,11,2001,59,8.5,1940,8.7,99897
"Oz","Cuts Like a Knife",4,12,2001,60,8.6,1866,8.7,99897
"Oz","Blizzard of '01",4,13,2001,59,8.2,1783,8.7,99897
"Oz","Orpheus Descending",4,14,2001,59,8.2,1793,8.7,99897
"Oz","Even the Score",4,15,2001,58,8.2,1786,8.7,99897
"Oz","Famous Last Words",4,16,2001,63,8.8,1885,8.7,99897
"Oz","Visitation",5,1,2002,58,8.4,1840,8.7,99897
"Oz","Laws of Gravity",5,2,2002,58,8,1749,8.7,99897
"Oz","Dream a Little Dream of Me",5,3,2002,56,8.1,1752,8.7,99897
"Oz","Next Stop, Valhalla",5,4,2002,57,8.3,1765,8.7,99897
"Oz","Wheel of Fortune",5,5,2002,59,8.4,1766,8.7,99897
"Oz","Variety",5,6,2002,57,8.6,1860,8.7,99897
"Oz","Good Intentions",5,7,2002,57,8.2,1750,8.7,99897
"Oz","Impotence",5,8,2002,59,8.5,1803,8.7,99897
"Oz","Dead Man Talking",6,1,2003,56,8,1772,8.7,99897
"Oz","See No Evil, Hear No Evil, Smell No Evil",6,2,2003,57,8.3,1769,8.7,99897
"Oz","Sonata da Oz",6,3,2003,57,8.6,1819,8.7,99897
"Oz","A Failure to Communicate",6,4,2003,57,8.1,1749,8.7,99897
"Oz","4giveness",6,5,2003,60,8.1,1762,8.7,99897
"Oz","A Day in the Death...",6,6,2003,57,8.9,2002,8.7,99897
"Oz","Junkyard Dawgs",6,7,2003,57,8.4,1762,8.7,99897
"Oz","Exeunt Omnes",6,8,2003,98,8.6,2105,8.7,99897
"The Sopranos","Pilot",1,1,1999,59,8.5,9658,9.2,398724
"The Sopranos","46 Long",1,2,1999,50,8.3,7804,9.2,398724
"The Sopranos","Denial, Anger, Acceptance",1,3,1999,45,8.6,7593,9.2,398724
"The Sopranos","Meadowlands",1,4,1999,54,8.6,7369,9.2,398724
"The Sopranos","College",1,5,1999,57,8.9,8343,9.2,398724
"The Sopranos","Pax Soprana",1,6,1999,50,8.5,6985,9.2,398724
"The Sopranos","Down Neck",1,7,1999,52,8.4,6759,9.2,398724
"The Sopranos","The Legend of Tennessee Moltisanti",1,8,1999,49,8.6,6808,9.2,398724
"The Sopranos","Boca",1,9,1999,52,8.5,6723,9.2,398724
"The Sopranos","A Hit Is a Hit",1,10,1999,53,7.9,6645,9.2,398724
"The Sopranos","Nobody Knows Anything",1,11,1999,58,8.8,6641,9.2,398724
"The Sopranos","Isabella",1,12,1999,48,9.1,7294,9.2,398724
"The Sopranos","I Dream of Jeannie Cusamano",1,13,1999,60,9.2,7242,9.2,398724
"The Sopranos","Guy Walks Into a Psychiatrist's Office",2,1,2000,50,8.2,6189,9.2,398724
"The Sopranos","Do Not Resuscitate",2,2,2000,51,8.1,5974,9.2,398724
"The Sopranos","Toodle-Fucking-Oo",2,3,2000,51,8.4,5960,9.2,398724
"The Sopranos","Commendatori",2,4,2000,53,8.5,6396,9.2,398724
"The Sopranos","Big Girls Don't Cry",2,5,2000,52,8.5,5907,9.2,398724
"The Sopranos","The Happy Wanderer",2,6,2000,51,8.6,6015,9.2,398724
"The Sopranos","D-Girl",2,7,2000,57,8.7,6225,9.2,398724
"The Sopranos","Full Leather Jacket",2,8,2000,43,8.8,6095,9.2,398724
"The Sopranos","From Where to Eternity",2,9,2000,56,8.8,6058,9.2,398724
"The Sopranos","Bust-Out",2,10,2000,60,8.4,5672,9.2,398724
"The Sopranos","House Arrest",2,11,2000,58,8.2,5662,9.2,398724
"The Sopranos","The Knight in White Satin Armor",2,12,2000,61,9.3,6944,9.2,398724
"The Sopranos","Funhouse",2,13,2000,60,9.4,7618,9.2,398724
"The Sopranos","Mr. Ruggerio's Neighborhood",3,1,2001,50,8.6,6012,9.2,398724
"The Sopranos","Proshai, Livushka",3,2,2001,57,8.6,5959,9.2,398724
"The Sopranos","Fortunate Son",3,3,2001,59,8.4,5546,9.2,398724
"The Sopranos","Employee of the Month",3,4,2001,53,9.1,6553,9.2,398724
"The Sopranos","Another Toothpick",3,5,2001,60,8.6,5670,9.2,398724
"The Sopranos","University",3,6,2001,49,8.7,6059,9.2,398724
"The Sopranos","Second Opinion",3,7,2001,60,8.4,5435,9.2,398724
"The Sopranos","He Is Risen",3,8,2001,54,8.3,5358,9.2,398724
"The Sopranos","The Telltale Moozadell",3,9,2001,56,8.1,5337,9.2,398724
"The Sopranos","To Save Us All from Satan's Power",3,10,2001,46,8.5,5473,9.2,398724
"The Sopranos","Pine Barrens",3,11,2001,60,9.7,12300,9.2,398724
"The Sopranos","Amour Fou",3,12,2001,60,9.2,6242,9.2,398724
"The Sopranos","Army of One",3,13,2001,60,9,6120,9.2,398724
"The Sopranos","For All Debts Public and Private",4,1,2002,58,8.2,5367,9.2,398724
"The Sopranos","No Show",4,2,2002,58,8.3,5228,9.2,398724
"The Sopranos","Christopher",4,3,2002,55,7.8,5589,9.2,398724
"The Sopranos","The Weight",4,4,2002,59,8.4,5340,9.2,398724
"The Sopranos","Pie-o-My",4,5,2002,55,8.1,5195,9.2,398724
"The Sopranos","Everybody Hurts",4,6,2002,55,8.4,5254,9.2,398724
"The Sopranos","Watching Too Much Television",4,7,2002,53,8.1,5113,9.2,398724
"The Sopranos","Mergers and Acquisitions",4,8,2002,56,8.1,5052,9.2,398724
"The Sopranos","Whoever Did This",4,9,2002,58,9.3,6599,9.2,398724
"The Sopranos","The Strong, Silent Type",4,10,2002,53,8.8,5546,9.2,398724
"The Sopranos","Calling All Cars",4,11,2002,48,8,5018,9.2,398724
"The Sopranos","Eloise",4,12,2002,57,8.2,5040,9.2,398724
"The Sopranos","Whitecaps",4,13,2002,72,9.2,6812,9.2,398724
"The Sopranos","Two Tonys",5,1,2004,54,8.6,5308,9.2,398724
"The Sopranos","Rat Pack",5,2,2004,57,8.3,5000,9.2,398724
"The Sopranos","Where's Johnny?",5,3,2004,55,8.6,5160,9.2,398724
"The Sopranos","All Happy Families",5,4,2004,53,8.5,5041,9.2,398724
"The Sopranos","Irregular Around the Margins",5,5,2004,52,9.2,6137,9.2,398724
"The Sopranos","Sentimental Education",5,6,2004,55,8.2,4945,9.2,398724
"The Sopranos","In Camelot",5,7,2004,55,8,5077,9.2,398724
"The Sopranos","Marco Polo",5,8,2004,54,8.7,5262,9.2,398724
"The Sopranos","Unidentified Black Males",5,9,2004,59,8.8,5245,9.2,398724
"The Sopranos","Cold Cuts",5,10,2004,52,8.6,5210,9.2,398724
"The Sopranos","The Test Dream",5,11,2004,58,8.6,6397,9.2,398724
"The Sopranos","Long Term Parking",5,12,2004,57,9.6,8087,9.2,398724
"The Sopranos","All Due Respect",5,13,2004,56,9.3,5873,9.2,398724
"The Sopranos","Members Only",6,1,2006,53,9.2,6139,9.2,398724
"The Sopranos","Join the Club",6,2,2006,54,8.7,5806,9.2,398724
"The Sopranos","Mayham",6,3,2006,57,8.7,5541,9.2,398724
"The Sopranos","The Fleshy Part of the Thigh",6,4,2006,60,8.4,5107,9.2,398724
"The Sopranos","Mr. & Mrs. John Sacrimoni Request",6,5,2006,53,8.8,5288,9.2,398724
"The Sopranos","Live Free or Die",6,6,2006,58,8.5,5038,9.2,398724
"The Sopranos","Luxury Lounge",6,7,2006,55,8.2,5087,9.2,398724
"The Sopranos","Johnny Cakes",6,8,2006,55,8.3,5002,9.2,398724
"The Sopranos","The Ride",6,9,2006,54,8.3,5042,9.2,398724
"The Sopranos","Moe n' Joe",6,10,2006,54,8.1,4831,9.2,398724
"The Sopranos","Cold Stones",6,11,2006,57,8.7,5139,9.2,398724
"The Sopranos","Kaisha",6,12,2006,59,8.2,5022,9.2,398724
"The Sopranos","Soprano Home Movies",6,13,2007,50,9,6044,9.2,398724
"The Sopranos","Stage 5",6,14,2007,55,8.8,5425,9.2,398724
"The Sopranos","Remember When",6,15,2007,56,8.5,5188,9.2,398724
"The Sopranos","Chasing It",6,16,2007,52,7.9,5087,9.2,398724
"The Sopranos","Walk Like a Man",6,17,2007,58,8.8,5438,9.2,398724
"The Sopranos","Kennedy and Heidi",6,18,2007,55,9.1,6476,9.2,398724
"The Sopranos","The Second Coming",6,19,2007,55,9.2,6046,9.2,398724
"The Sopranos","The Blue Comet",6,20,2007,53,9.6,7527,9.2,398724
"The Sopranos","Made in America",6,21,2007,62,9.3,10759,9.2,398724
"Freaks and Geeks","Pilot",1,1,1999,48,8.6,2512,8.8,143476
"Freaks and Geeks","Beers and Weirs",1,2,1999,45,8.6,2076,8.8,143476
"Freaks and Geeks","Tricks and Treats",1,3,1999,45,8.3,1915,8.8,143476
"Freaks and Geeks","Kim Kelly Is My Friend",1,4,2000,45,8.5,1903,8.8,143476
"Freaks and Geeks","Tests and Breasts",1,5,1999,45,8.7,1880,8.8,143476
"Freaks and Geeks","I'm with the Band",1,6,1999,45,8.5,1793,8.8,143476
"Freaks and Geeks","Carded and Discarded",1,7,2000,45,8.7,1792,8.8,143476
"Freaks and Geeks","Girlfriends and Boyfriends",1,8,2000,45,8.3,1658,8.8,143476
"Freaks and Geeks","We've Got Spirit",1,9,2000,43,8.4,1676,8.8,143476
"Freaks and Geeks","The Diary",1,10,2000,43,8.6,1610,8.8,143476
"Freaks and Geeks","Looks and Books",1,11,2000,45,8.9,1711,8.8,143476
"Freaks and Geeks","The Garage Door",1,12,2000,45,8.8,1684,8.8,143476
"Freaks and Geeks","Chokin' and Tokin'",1,13,2000,44,9,1818,8.8,143476
"Freaks and Geeks","Dead Dogs and Gym Teachers",1,14,2000,45,8.8,1661,8.8,143476
"Freaks and Geeks","Noshing and Moshing",1,15,2000,44,8.7,1668,8.8,143476
"Freaks and Geeks","Smooching and Mooching",1,16,2000,44,9.2,1821,8.8,143476
"Freaks and Geeks","The Little Things",1,17,2000,44,9,1650,8.8,143476
"Freaks and Geeks","Discos and Dragons",1,18,2000,44,9.2,2067,8.8,143476
"The West Wing","Pilot",1,1,1999,42,8.5,1781,8.9,76784
"The West Wing","Post Hoc, Ergo Propter Hoc",1,2,1999,41,8,1283,8.9,76784
"The West Wing","A Proportional Response",1,3,1999,43,8.6,1266,8.9,76784
"The West Wing","Five Votes Down",1,4,1999,44,8.1,1152,8.9,76784
"The West Wing","The Crackpots and These Women",1,5,1999,43,8.5,1294,8.9,76784
"The West Wing","Mr. Willis of Ohio",1,6,1999,44,8.7,1259,8.9,76784
"The West Wing","The State Dinner",1,7,1999,43,8.2,1087,8.9,76784
"The West Wing","Enemies",1,8,1999,44,7.9,1031,8.9,76784
"The West Wing","The Short List",1,9,1999,44,8.6,1103,8.9,76784
"The West Wing","In Excelsis Deo",1,10,1999,45,9.1,1639,8.9,76784
"The West Wing","Lord John Marbury",1,11,2000,60,8.1,1043,8.9,76784
"The West Wing","He Shall, from Time to Time...",1,12,2000,44,8.6,1051,8.9,76784
"The West Wing","Take Out the Trash Day",1,13,2000,60,8.3,1003,8.9,76784
"The West Wing","Take This Sabbath Day",1,14,2000,44,8.8,1253,8.9,76784
"The West Wing","Celestial Navigation",1,15,2000,60,8.9,1253,8.9,76784
"The West Wing","20 Hours in L.A.",1,16,2000,60,7.8,988,8.9,76784
"The West Wing","The White House Pro-Am",1,17,2000,60,7.7,919,8.9,76784
"The West Wing","Six Meetings Before Lunch",1,18,2000,60,8.1,981,8.9,76784
"The West Wing","Let Bartlet Be Bartlet",1,19,2000,44,8.9,1149,8.9,76784
"The West Wing","Mandatory Minimums",1,20,2000,60,8.2,951,8.9,76784
"The West Wing","Lies, Damn Lies and Statistics",1,21,2000,44,8.5,970,8.9,76784
"The West Wing","What Kind of Day Has It Been",1,22,2000,60,9.2,1265,8.9,76784
"The West Wing","In the Shadow of Two Gunmen: Part I",2,1,2000,43,9.4,1592,8.9,76784
"The West Wing","In the Shadow of Two Gunmen: Part II",2,2,2000,41,9.3,1370,8.9,76784
"The West Wing","The Midterms",2,3,2000,44,8.3,1000,8.9,76784
"The West Wing","In This White House",2,4,2000,60,8.7,1022,8.9,76784
"The West Wing","And It's Surely to Their Credit",2,5,2000,42,8.4,966,8.9,76784
"The West Wing","The Lame Duck Congress",2,6,2000,60,7.7,840,8.9,76784
"The West Wing","The Portland Trip",2,7,2000,60,7.8,844,8.9,76784
"The West Wing","Shibboleth",2,8,2000,41,8.5,1123,8.9,76784
"The West Wing","Galileo",2,9,2000,42,8.2,890,8.9,76784
"The West Wing","Noël",2,10,2000,43,9.4,1681,8.9,76784
"The West Wing","The Leadership Breakfast",2,11,2001,60,8,819,8.9,76784
"The West Wing","The Drop In",2,12,2001,42,7.8,799,8.9,76784
"The West Wing","Bartlet's Third State of the Union",2,13,2001,42,8.2,848,8.9,76784
"The West Wing","The War at Home",2,14,2001,42,8.4,837,8.9,76784
"The West Wing","Ellie",2,15,2001,42,8.2,848,8.9,76784
"The West Wing","Somebody's Going to Emergency, Somebody's Going to Jail",2,16,2001,60,8.6,984,8.9,76784
"The West Wing","The Stackhouse Filibuster",2,17,2001,43,8.8,1090,8.9,76784
"The West Wing","17 People",2,18,2001,60,9,1006,8.9,76784
"The West Wing","Bad Moon Rising",2,19,2001,43,8.7,876,8.9,76784
"The West Wing","The Fall's Gonna Kill You",2,20,2001,44,8.5,833,8.9,76784
"The West Wing","18th and Potomac",2,21,2001,60,9,1025,8.9,76784
"The West Wing","Two Cathedrals",2,22,2001,43,9.7,3158,8.9,76784
"The West Wing","Isaac and Ishmael",3,1,2001,41,8.2,1166,8.9,76784
"The West Wing","Manchester: Part I",3,2,2001,44,8.1,806,8.9,76784
"The West Wing","Manchester: Part II",3,3,2001,44,8.1,781,8.9,76784
"The West Wing","Ways and Means",3,4,2001,42,7.8,729,8.9,76784
"The West Wing","On the Day Before",3,5,2001,44,8,706,8.9,76784
"The West Wing","War Crimes",3,6,2001,44,8,708,8.9,76784
"The West Wing","Gone Quiet",3,7,2001,42,7.9,705,8.9,76784
"The West Wing","The Indians in the Lobby",3,8,2001,43,8.2,765,8.9,76784
"The West Wing","The Women of Qumar",3,9,2001,43,8,752,8.9,76784
"The West Wing","Bartlet for America",3,10,2001,44,9.1,1003,8.9,76784
"The West Wing","H. Con-172",3,11,2002,42,8.1,706,8.9,76784
"The West Wing","100,000 Airplanes",3,12,2002,42,8,1041,8.9,76784
"The West Wing","The Two Bartlets",3,13,2002,42,7.9,710,8.9,76784
"The West Wing","Night Five",3,14,2002,42,8.2,779,8.9,76784
"The West Wing","Hartsfield's Landing",3,15,2002,44,8.5,788,8.9,76784
"The West Wing","Dead Irish Writers",3,16,2002,41,8.2,752,8.9,76784
"The West Wing","The U.S. Poet Laureate",3,17,2002,42,8,726,8.9,76784
"The West Wing","Stirred",3,18,2002,42,8.3,686,8.9,76784
"The West Wing","Enemies Foreign and Domestic",3,19,2002,60,8.4,729,8.9,76784
"The West Wing","The Black Vera Wang",3,20,2002,41,8.2,723,8.9,76784
"The West Wing","We Killed Yamamoto",3,21,2002,42,8.3,714,8.9,76784
"The West Wing","Posse Comitatus",3,22,2002,42,9.1,1096,8.9,76784
"The West Wing","20 Hours in America: Part I",4,1,2002,90,8.6,940,8.9,76784
"The West Wing","20 Hours in America: Part II",4,2,2002,41,8.8,723,8.9,76784
"The West Wing","College Kids",4,3,2002,43,7.9,676,8.9,76784
"The West Wing","The Red Mass",4,4,2002,43,7.7,643,8.9,76784
"The West Wing","Debate Camp",4,5,2002,42,8.1,706,8.9,76784
"The West Wing","Game On",4,6,2002,60,8.9,815,8.9,76784
"The West Wing","Election Night",4,7,2002,42,8.6,707,8.9,76784
"The West Wing","Process Stories",4,8,2002,42,7.9,647,8.9,76784
"The West Wing","Swiss Diplomacy",4,9,2002,40,7.6,617,8.9,76784
"The West Wing","Arctic Radar",4,10,2002,42,7.8,624,8.9,76784
"The West Wing","Holy Night",4,11,2002,45,8.1,704,8.9,76784
"The West Wing","Guns Not Butter",4,12,2003,60,7.7,611,8.9,76784
"The West Wing","The Long Goodbye",4,13,2003,41,7.6,810,8.9,76784
"The West Wing","Inauguration: Part 1",4,14,2003,42,8,619,8.9,76784
"The West Wing","Inauguration: Part 2 - Over There",4,15,2003,43,8.2,639,8.9,76784
"The West Wing","The California 47th",4,16,2003,42,7.9,620,8.9,76784
"The West Wing","Red Haven's on Fire",4,17,2003,41,7.8,613,8.9,76784
"The West Wing","Privateers",4,18,2003,41,7.5,643,8.9,76784
"The West Wing","Angel Maintenance",4,19,2003,41,7.7,618,8.9,76784
"The West Wing","Evidence of Things Not Seen",4,20,2003,42,8.2,670,8.9,76784
"The West Wing","Life on Mars",4,21,2003,42,8.6,752,8.9,76784
"The West Wing","Commencement",4,22,2003,43,9,897,8.9,76784
"The West Wing","Twenty Five",4,23,2003,43,9.2,962,8.9,76784
"The West Wing","7A WF 83429",5,1,2003,41,8.6,755,8.9,76784
"The West Wing","The Dogs of War",5,2,2003,41,8.1,657,8.9,76784
"The West Wing","Jefferson Lives",5,3,2003,42,7.5,633,8.9,76784
"The West Wing","Han",5,4,2003,42,7.8,668,8.9,76784
"The West Wing","Constituency of One",5,5,2003,42,7.5,625,8.9,76784
"The West Wing","Disaster Relief",5,6,2003,42,7.6,595,8.9,76784
"The West Wing","Separation of Powers",5,7,2003,42,8,628,8.9,76784
"The West Wing","Shutdown",5,8,2003,42,8.7,727,8.9,76784
"The West Wing","Abu el Banat",5,9,2003,42,7.6,596,8.9,76784
"The West Wing","The Stormy Present",5,10,2004,41,7.5,617,8.9,76784
"The West Wing","The Benign Prerogative",5,11,2004,42,7.6,590,8.9,76784
"The West Wing","Slow News Day",5,12,2004,42,8,598,8.9,76784
"The West Wing","The Warfare of Genghis Khan",5,13,2004,42,7.8,600,8.9,76784
"The West Wing","An Khe",5,14,2004,42,7.6,577,8.9,76784
"The West Wing","Full Disclosure",5,15,2004,41,7.7,563,8.9,76784
"The West Wing","Eppur Si Muove",5,16,2004,42,7.6,564,8.9,76784
"The West Wing","The Supremes",5,17,2004,41,9.2,1067,8.9,76784
"The West Wing","Access",5,18,2004,41,7.1,711,8.9,76784
"The West Wing","Talking Points",5,19,2004,42,7.6,555,8.9,76784
"The West Wing","No Exit",5,20,2004,42,7.9,605,8.9,76784
"The West Wing","Gaza",5,21,2004,41,8.4,648,8.9,76784
"The West Wing","Memorial Day",5,22,2004,42,8.2,611,8.9,76784
"The West Wing","N.S.F. Thurmont",6,1,2004,42,8,611,8.9,76784
"The West Wing","The Birnam Wood",6,2,2004,42,8.3,618,8.9,76784
"The West Wing","Third-Day Story",6,3,2004,42,8,569,8.9,76784
"The West Wing","Liftoff",6,4,2004,42,8.3,610,8.9,76784
"The West Wing","The Hubbert Peak",6,5,2004,43,7.6,563,8.9,76784
"The West Wing","The Dover Test",6,6,2004,60,7.6,532,8.9,76784
"The West Wing","A Change Is Gonna Come",6,7,2004,44,7.7,537,8.9,76784
"The West Wing","In the Room",6,8,2004,43,8.3,583,8.9,76784
"The West Wing","Impact Winter",6,9,2004,44,8.5,589,8.9,76784
"The West Wing","Faith-Based Initiative",6,10,2005,44,8,560,8.9,76784
"The West Wing","Opposition Research",6,11,2005,44,7.8,569,8.9,76784
"The West Wing","365 Days",6,12,2005,44,7.7,536,8.9,76784
"The West Wing","King Corn",6,13,2005,44,7.9,595,8.9,76784
"The West Wing","The Wake Up Call",6,14,2005,44,7.6,570,8.9,76784
"The West Wing","Freedonia",6,15,2005,44,8.2,552,8.9,76784
"The West Wing","Drought Conditions",6,16,2005,43,8,608,8.9,76784
"The West Wing","A Good Day",6,17,2005,44,8.4,625,8.9,76784
"The West Wing","La Palabra",6,18,2005,44,8.2,551,8.9,76784
"The West Wing","Ninety Miles Away",6,19,2005,60,7.1,553,8.9,76784
"The West Wing","In God We Trust",6,20,2005,44,8.2,565,8.9,76784
"The West Wing","Things Fall Apart",6,21,2005,44,8,537,8.9,76784
"The West Wing","2162 Votes",6,22,2005,43,8.9,674,8.9,76784
"The West Wing","The Ticket",7,1,2005,42,7.9,613,8.9,76784
"The West Wing","The Mommy Problem",7,2,2005,42,7.8,577,8.9,76784
"The West Wing","Message of the Week",7,3,2005,42,7.8,548,8.9,76784
"The West Wing","Mr. Frost",7,4,2005,41,7.8,550,8.9,76784
"The West Wing","Here Today",7,5,2005,42,8.5,598,8.9,76784
"The West Wing","The Al Smith Dinner",7,6,2005,42,7.9,549,8.9,76784
"The West Wing","The Debate",7,7,2005,51,8.8,872,8.9,76784
"The West Wing","Undecideds",7,8,2005,42,8,565,8.9,76784
"The West Wing","The Wedding",7,9,2005,42,7.8,547,8.9,76784
"The West Wing","Running Mates",7,10,2006,42,8.2,557,8.9,76784
"The West Wing","Internal Displacement",7,11,2006,42,7.9,546,8.9,76784
"The West Wing","Duck and Cover",7,12,2006,60,8.4,568,8.9,76784
"The West Wing","The Cold",7,13,2006,41,8.2,586,8.9,76784
"The West Wing","Two Weeks Out",7,14,2006,42,8,534,8.9,76784
"The West Wing","Welcome to Wherever You Are",7,15,2006,41,7.7,551,8.9,76784
"The West Wing","Election Day: Part 1",7,16,2006,42,8.6,637,8.9,76784
"The West Wing","Election Day: Part 2",7,17,2006,41,9.1,723,8.9,76784
"The West Wing","Requiem",7,18,2006,42,8.8,731,8.9,76784
"The West Wing","Transition",7,19,2006,42,8.5,581,8.9,76784
"The West Wing","The Last Hurrah",7,20,2006,42,8.3,584,8.9,76784
"The West Wing","Institutional Memory",7,21,2006,42,8.5,577,8.9,76784
"The West Wing","Tomorrow",7,22,2006,42,9,919,8.9,76784
"Six Feet Under","Pilot",1,1,2001,63,8.7,3255,8.7,135741
"Six Feet Under","The Will",1,2,2001,52,8.1,2179,8.7,135741
"Six Feet Under","The Foot",1,3,2001,53,8.4,2099,8.7,135741
"Six Feet Under","Familia",1,4,2001,52,8.3,2018,8.7,135741
"Six Feet Under","An Open Book",1,5,2001,55,8.3,1934,8.7,135741
"Six Feet Under","The Room",1,6,2001,58,8.6,2008,8.7,135741
"Six Feet Under","Brotherhood",1,7,2001,51,8,1729,8.7,135741
"Six Feet Under","Crossroads",1,8,2001,57,8.1,1708,8.7,135741
"Six Feet Under","Life's Too Short",1,9,2001,60,8.6,1804,8.7,135741
"Six Feet Under","The New Person",1,10,2001,60,8.4,1684,8.7,135741
"Six Feet Under","The Trip",1,11,2001,60,8.4,1647,8.7,135741
"Six Feet Under","A Private Life",1,12,2001,60,8.9,1848,8.7,135741
"Six Feet Under","Knock, Knock",1,13,2001,60,8.7,1790,8.7,135741
"Six Feet Under","In the Game",2,1,2002,60,8.3,1621,8.7,135741
"Six Feet Under","Out, Out, Brief Candle",2,2,2002,60,8.2,1470,8.7,135741
"Six Feet Under","The Plan",2,3,2002,60,8.2,1448,8.7,135741
"Six Feet Under","Driving Mr. Mossback",2,4,2002,60,8.4,1487,8.7,135741
